"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","1981","Longford","Both sexes","Number","31140"
"Population at Each Census","1981","Louth","Both sexes","Number","88514"
"Population at Each Census","1981","Meath","Both sexes","Number","95419"
"Population at Each Census","1981","Offaly","Both sexes","Number","58312"
"Population at Each Census","1981","Westmeath","Both sexes","Number","61523"
"Population at Each Census","1981","Wexford","Both sexes","Number","99081"
"Population at Each Census","1981","Wicklow","Both sexes","Number","87449"
"Population at Each Census","1981","Clare","Both sexes","Number","87567"
"Population at Each Census","1981","Cork","Both sexes","Number","402465"
"Population at Each Census","1981","Kerry","Both sexes","Number","122770"
"Population at Each Census","1981","Limerick","Both sexes","Number","161661"
"Population at Each Census","1981","Tipperary","Both sexes","Number","135261"
"Population at Each Census","1981","Waterford","Both sexes","Number","88591"
"Population at Each Census","1981","Galway","Both sexes","Number","172018"
"Population at Each Census","1981","Leitrim","Both sexes","Number","27609"
"Population at Each Census","1981","Mayo","Both sexes","Number","114766"
"Population at Each Census","1981","Roscommon","Both sexes","Number","54543"
"Population at Each Census","1981","Sligo","Both sexes","Number","55474"
"Population at Each Census","1981","Cavan","Both sexes","Number","53855"
"Population at Each Census","1981","Donegal","Both sexes","Number","125112"
"Population at Each Census","1981","Monaghan","Both sexes","Number","51192"
"Population at Each Census","1986","State","Both sexes","Number","3540643"
"Population at Each Census","1986","Carlow","Both sexes","Number","40988"
"Population at Each Census","1986","Dublin","Both sexes","Number","1021449"
"Population at Each Census","1986","Kildare","Both sexes","Number","116247"
"Population at Each Census","1986","Kilkenny","Both sexes","Number","73186"
"Population at Each Census","1986","Laois","Both sexes","Number","53284"
"Population at Each Census","1986","Longford","Both sexes","Number","31496"
"Population at Each Census","1986","Louth","Both sexes","Number","91810"
"Population at Each Census","1986","Meath","Both sexes","Number","103881"
"Population at Each Census","1986","Offaly","Both sexes","Number","59835"
"Population at Each Census","1986","Westmeath","Both sexes","Number","63379"
"Population at Each Census","1986","Wexford","Both sexes","Number","102552"
"Population at Each Census","1986","Wicklow","Both sexes","Number","94542"
"Population at Each Census","1986","Clare","Both sexes","Number","91344"
"Population at Each Census","1986","Cork","Both sexes","Number","412735"
"Population at Each Census","1986","Kerry","Both sexes","Number","124159"
"Population at Each Census","1986","Limerick","Both sexes","Number","164569"
"Population at Each Census","1986","Tipperary","Both sexes","Number","136619"
"Population at Each Census","1986","Waterford","Both sexes","Number","91151"
"Population at Each Census","1986","Galway","Both sexes","Number","178552"
"Population at Each Census","1986","Leitrim","Both sexes","Number","27035"
"Population at Each Census","1986","Mayo","Both sexes","Number","115184"
"Population at Each Census","1986","Roscommon","Both sexes","Number","54592"
"Population at Each Census","1986","Sligo","Both sexes","Number","56046"
"Population at Each Census","1986","Cavan","Both sexes","Number","53965"
"Population at Each Census","1986","Donegal","Both sexes","Number","129664"
"Population at Each Census","1986","Monaghan","Both sexes","Number","52379"
"Population at Each Census","1991","State","Both sexes","Number","3525719"
"Population at Each Census","1991","Carlow","Both sexes","Number","40942"
"Population at Each Census","1991","Dublin","Both sexes","Number","1025304"
"Population at Each Census","1991","Kildare","Both sexes","Number","122656"
"Population at Each Census","1991","Kilkenny","Both sexes","Number","73635"
"Population at Each Census","1991","Laois","Both sexes","Number","52314"
"Population at Each Census","1991","Longford","Both sexes","Number","30296"
"Population at Each Census","1991","Louth","Both sexes","Number","90724"
"Population at Each Census","1991","Meath","Both sexes","Number","105370"
"Population at Each Census","1991","Offaly","Both sexes","Number","58494"
"Population at Each Census","1991","Westmeath","Both sexes","Number","61880"
"Population at Each Census","1991","Wexford","Both sexes","Number","102069"
"Population at Each Census","1991","Wicklow","Both sexes","Number","97265"
"Population at Each Census","1991","Clare","Both sexes","Number","90918"
"Population at Each Census","1991","Cork","Both sexes","Number","410369"
"Population at Each Census","1991","Kerry","Both sexes","Number","121894"
"Population at Each Census","1991","Limerick","Both sexes","Number","161956"
"Population at Each Census","1991","Tipperary","Both sexes","Number","132772"
"Population at Each Census","1991","Waterford","Both sexes","Number","91624"
"Population at Each Census","1991","Galway","Both sexes","Number","180364"
"Population at Each Census","1991","Leitrim","Both sexes","Number","25301"
"Population at Each Census","1991","Mayo","Both sexes","Number","110713"
"Population at Each Census","1991","Roscommon","Both sexes","Number","51897"
"Population at Each Census","1991","Sligo","Both sexes","Number","54756"
"Population at Each Census","1991","Cavan","Both sexes","Number","52796"
"Population at Each Census","1991","Donegal","Both sexes","Number","128117"
"Population at Each Census","1991","Monaghan","Both sexes","Number","51293"
"Population at Each Census","1996","State","Both sexes","Number","3626087"
"Population at Each Census","1996","Carlow","Both sexes","Number","41616"
"Population at Each Census","1996","Dublin","Both sexes","Number","1058264"
"Population at Each Census","1996","Kildare","Both sexes","Number","134992"
"Population at Each Census","1996","Kilkenny","Both sexes","Number","75336"
"Population at Each Census","1996","Laois","Both sexes","Number","52945"
"Population at Each Census","1996","Longford","Both sexes","Number","30166"
"Population at Each Census","1996","Louth","Both sexes","Number","92166"
"Population at Each Census","1996","Meath","Both sexes","Number","109732"
"Population at Each Census","1996","Offaly","Both sexes","Number","59117"
"Population at Each Census","1996","Westmeath","Both sexes","Number","63314"
"Population at Each Census","1996","Wexford","Both sexes","Number","104371"
"Population at Each Census","1996","Wicklow","Both sexes","Number","102683"
"Population at Each Census","1996","Clare","Both sexes","Number","94006"
"Population at Each Census","1996","Cork","Both sexes","Number","420510"
"Population at Each Census","1996","Kerry","Both sexes","Number","126130"
"Population at Each Census","1996","Limerick","Both sexes","Number","165042"
"Population at Each Census","1996","Tipperary","Both sexes","Number","133535"
"Population at Each Census","1996","Waterford","Both sexes","Number","94680"
"Population at Each Census","1996","Galway","Both sexes","Number","188854"
"Population at Each Census","1996","Leitrim","Both sexes","Number","25057"
"Population at Each Census","1996","Mayo","Both sexes","Number","111524"
"Population at Each Census","1996","Roscommon","Both sexes","Number","51975"
"Population at Each Census","1996","Sligo","Both sexes","Number","55821"
"Population at Each Census","1996","Cavan","Both sexes","Number","52944"
"Population at Each Census","1996","Donegal","Both sexes","Number","129994"
"Population at Each Census","1996","Monaghan","Both sexes","Number","51313"
"Population at Each Census","2002","State","Both sexes","Number","3917203"
"Population at Each Census","2002","Carlow","Both sexes","Number","46014"
"Population at Each Census","2002","Dublin","Both sexes","Number","1122821"
"Population at Each Census","2002","Kildare","Both sexes","Number","163944"
"Population at Each Census","2002","Kilkenny","Both sexes","Number","80339"
"Population at Each Census","2002","Laois","Both sexes","Number","58774"
"Population at Each Census","2002","Longford","Both sexes","Number","31068"
"Population at Each Census","2002","Louth","Both sexes","Number","101821"
"Population at Each Census","2002","Meath","Both sexes","Number","134005"
"Population at Each Census","2002","Offaly","Both sexes","Number","63663"
"Population at Each Census","2002","Westmeath","Both sexes","Number","71858"
"Population at Each Census","2002","Wexford","Both sexes","Number","116596"
"Population at Each Census","2002","Wicklow","Both sexes","Number","114676"
"Population at Each Census","2002","Clare","Both sexes","Number","103277"
"Population at Each Census","2002","Cork","Both sexes","Number","447829"
"Population at Each Census","2002","Kerry","Both sexes","Number","132527"
"Population at Each Census","2002","Limerick","Both sexes","Number","175304"
"Population at Each Census","2002","Tipperary","Both sexes","Number","140131"
"Population at Each Census","2002","Waterford","Both sexes","Number","101546"
"Population at Each Census","2002","Galway","Both sexes","Number","209077"
"Population at Each Census","2002","Leitrim","Both sexes","Number","25799"
"Population at Each Census","2002","Mayo","Both sexes","Number","117446"
"Population at Each Census","2002","Roscommon","Both sexes","Number","53774"
"Population at Each Census","2002","Sligo","Both sexes","Number","58200"
"Population at Each Census","2002","Cavan","Both sexes","Number","56546"
"Population at Each Census","2002","Donegal","Both sexes","Number","137575"
"Population at Each Census","2002","Monaghan","Both sexes","Number","52593"
"Population at Each Census","2006","State","Both sexes","Number","4239848"
"Population at Each Census","2006","Carlow","Both sexes","Number","50349"
"Population at Each Census","2006","Dublin","Both sexes","Number","1187176"
"Population at Each Census","2006","Kildare","Both sexes","Number","186335"
"Population at Each Census","2006","Kilkenny","Both sexes","Number","87558"
"Population at Each Census","2006","Laois","Both sexes","Number","67059"
"Population at Each Census","2006","Longford","Both sexes","Number","34391"
"Population at Each Census","2006","Louth","Both sexes","Number","111267"
"Population at Each Census","2006","Meath","Both sexes","Number","162831"
"Population at Each Census","2006","Offaly","Both sexes","Number","70868"
"Population at Each Census","2006","Westmeath","Both sexes","Number","79346"
"Population at Each Census","2006","Wexford","Both sexes","Number","131749"
"Population at Each Census","2006","Wicklow","Both sexes","Number","126194"
"Population at Each Census","2006","Clare","Both sexes","Number","110950"
"Population at Each Census","2006","Cork","Both sexes","Number","481295"
"Population at Each Census","2006","Kerry","Both sexes","Number","139835"
"Population at Each Census","2006","Limerick","Both sexes","Number","184055"
"Population at Each Census","2006","Tipperary","Both sexes","Number","149244"
"Population at Each Census","2006","Waterford","Both sexes","Number","107961"
"Population at Each Census","2006","Galway","Both sexes","Number","231670"
"Population at Each Census","2006","Leitrim","Both sexes","Number","28950"
"Population at Each Census","2006","Mayo","Both sexes","Number","123839"
"Population at Each Census","2006","Roscommon","Both sexes","Number","58768"
"Population at Each Census","2006","Sligo","Both sexes","Number","60894"
"Population at Each Census","2006","Cavan","Both sexes","Number","64003"
"Population at Each Census","2006","Donegal","Both sexes","Number","147264"
"Population at Each Census","2006","Monaghan","Both sexes","Number","55997"
"Population at Each Census","2011","State","Both sexes","Number","4588252"
"Population at Each Census","2011","Carlow","Both sexes","Number","54612"
"Population at Each Census","2011","Dublin","Both sexes","Number","1273069"
"Population at Each Census","2011","Kildare","Both sexes","Number","210312"
"Population at Each Census","2011","Kilkenny","Both sexes","Number","95419"
"Population at Each Census","2011","Laois","Both sexes","Number","80559"
"Population at Each Census","2011","Longford","Both sexes","Number","39000"
"Population at Each Census","2011","Louth","Both sexes","Number","122897"
"Population at Each Census","2011","Meath","Both sexes","Number","184135"
"Population at Each Census","2011","Offaly","Both sexes","Number","76687"
"Population at Each Census","2011","Westmeath","Both sexes","Number","86164"
"Population at Each Census","2011","Wexford","Both sexes","Number","145320"
"Population at Each Census","2011","Wicklow","Both sexes","Number","136640"
"Population at Each Census","2011","Clare","Both sexes","Number","117196"
"Population at Each Census","2011","Cork","Both sexes","Number","519032"
"Population at Each Census","2011","Kerry","Both sexes","Number","145502"
"Population at Each Census","2011","Limerick","Both sexes","Number","191809"
"Population at Each Census","2011","Tipperary","Both sexes","Number","158754"
"Population at Each Census","2011","Waterford","Both sexes","Number","113795"
"Population at Each Census","2011","Galway","Both sexes","Number","250653"
"Population at Each Census","2011","Leitrim","Both sexes","Number","31798"
"Population at Each Census","2011","Mayo","Both sexes","Number","130638"
"Population at Each Census","2011","Roscommon","Both sexes","Number","64065"
"Population at Each Census","2011","Sligo","Both sexes","Number","65393"
"Population at Each Census","2011","Cavan","Both sexes","Number","73183"
"Population at Each Census","2011","Donegal","Both sexes","Number","161137"
"Population at Each Census","2011","Monaghan","Both sexes","Number","60483"
"Population at Each Census","2016","State","Both sexes","Number","4761865"
"Population at Each Census","2016","Carlow","Both sexes","Number","56932"
"Population at Each Census","2016","Dublin","Both sexes","Number","1347359"
"Population at Each Census","2016","Kildare","Both sexes","Number","222504"
"Population at Each Census","2016","Kilkenny","Both sexes","Number","99232"
"Population at Each Census","2016","Laois","Both sexes","Number","84697"
"Population at Each Census","2016","Longford","Both sexes","Number","40873"
"Population at Each Census","2016","Louth","Both sexes","Number","128884"
"Population at Each Census","2016","Meath","Both sexes","Number","195044"
"Population at Each Census","2016","Offaly","Both sexes","Number","77961"
"Population at Each Census","2016","Westmeath","Both sexes","Number","88770"
"Population at Each Census","2016","Wexford","Both sexes","Number","149722"
"Population at Each Census","2016","Wicklow","Both sexes","Number","142425"
"Population at Each Census","2016","Clare","Both sexes","Number","118817"
"Population at Each Census","2016","Cork","Both sexes","Number","542868"
"Population at Each Census","2016","Kerry","Both sexes","Number","147707"
"Population at Each Census","2016","Limerick","Both sexes","Number","194899"
"Population at Each Census","2016","Tipperary","Both sexes","Number","159553"
"Population at Each Census","2016","Waterford","Both sexes","Number","116176"
"Population at Each Census","2016","Galway","Both sexes","Number","258058"
"Population at Each Census","2016","Leitrim","Both sexes","Number","32044"
"Population at Each Census","2016","Mayo","Both sexes","Number","130507"
"Population at Each Census","2016","Roscommon","Both sexes","Number","64544"
"Population at Each Census","2016","Sligo","Both sexes","Number","65535"
"Population at Each Census","2016","Cavan","Both sexes","Number","76176"
"Population at Each Census","2016","Donegal","Both sexes","Number","159192"
"Population at Each Census","2016","Monaghan","Both sexes","Number","61386"
"Population at Each Census","2022","State","Both sexes","Number","5149139"
"Population at Each Census","2022","Carlow","Both sexes","Number","61968"
"Population at Each Census","2022","Dublin","Both sexes","Number","1458154"
"Population at Each Census","2022","Kildare","Both sexes","Number","247774"
"Population at Each Census","2022","Kilkenny","Both sexes","Number","104160"
"Population at Each Census","2022","Laois","Both sexes","Number","91877"
"Population at Each Census","2022","Longford","Both sexes","Number","46751"
"Population at Each Census","2022","Louth","Both sexes","Number","139703"
"Population at Each Census","2022","Meath","Both sexes","Number","220826"
"Population at Each Census","2022","Offaly","Both sexes","Number","83150"
"Population at Each Census","2022","Westmeath","Both sexes","Number","96221"
"Population at Each Census","2022","Wexford","Both sexes","Number","163919"
"Population at Each Census","2022","Wicklow","Both sexes","Number","155851"
"Population at Each Census","2022","Clare","Both sexes","Number","127938"
"Population at Each Census","2022","Cork","Both sexes","Number","584156"
"Population at Each Census","2022","Kerry","Both sexes","Number","156458"
"Population at Each Census","2022","Limerick","Both sexes","Number","209536"
"Population at Each Census","2022","Tipperary","Both sexes","Number","167895"
"Population at Each Census","2022","Waterford","Both sexes","Number","127363"
"Population at Each Census","2022","Galway","Both sexes","Number","277737"
"Population at Each Census","2022","Leitrim","Both sexes","Number","35199"
"Population at Each Census","2022","Mayo","Both sexes","Number","137970"
"Population at Each Census","2022","Roscommon","Both sexes","Number","70259"
"Population at Each Census","2022","Sligo","Both sexes","Number","70198"
"Population at Each Census","2022","Cavan","Both sexes","Number","81704"
"Population at Each Census","2022","Donegal","Both sexes","Number","167084"
"Population at Each Census","2022","Monaghan","Both sexes","Number","65288"
